product_category_name,total_revenue
health_beauty,1347468.49
watches_gifts,1259634.58
bed_bath_table,1228795.46
computers_accessories,1135454.64
sports_leisure,1082435.42
furniture_decor,929520.95
housewares,750233.73
auto,662861.88
cool_stuff,659590.61
garden_tools,584155.02
toys,507961.96
baby,435699.48
perfumery,419920.08
office_furniture,393017.83
telephony,360139.72
computers,247580.06
stationery,245569.71
pet_shop,237722.39
musical_instruments,200712.37
small_appliances,198835.14
electronics,179888.86
construction_tools_construction,174792.36000000002
fashion_bags_accessories,166825.58
consoles_games,164816.68
luggage_accessories,147430.96
fixed_telephony,128822.79
home_appliances_2,113700.52
home_construction,99742.04
agro_industry_and_commerce,91634.76
furniture_living_room,87166.25
home_appliances,80332.98
air_conditioning,67920.69
home_confort,65931.49
kitchen_dining_laundry_garden_furniture,52588.35
audio,51967.81
construction_tools_safety,50363.12
books_general_interest,50232.8
construction_tools_lights,49540.04
small_appliances_home_oven_and_coffee,48040.71
industry_commerce_and_business,43081.76
drinks,40220.78
signaling_and_security,34797.13
food,33180.45
market_place,32647.13
costruction_tools_garden,31416.3
art,25366.09
fashion_shoes,25072.41
furniture_bedroom,23167.15
books_technical,19726.84
food_drink,17797.63
costruction_tools_tools,17359.55
fashion_male_clothing,12634.41
christmas_supplies,11372.5
fashion_underwear_beach,9931.24
tablets_printing_image,8082.21
cine_photo,7235.76
dvds_blu_ray,6174.0599999999995
music,6059.32
books_imported,5258.22
party_supplies,4685.78
furniture_mattress_and_upholstery,4368.08
portateis_cozinha_e_preparadores_de_alimentos,3986.06
fashio_female_clothing,3438.37
fashion_sport,2483.8
diapers_and_hygiene,2255.59
la_cuisine,2218.99
pc_gamer,1894.94
arts_and_craftmanship,1875.9
flowers,1257.14
home_comfort_2,876.37
cds_dvds_musicals,820.0
fashion_childrens_clothes,569.85
security_and_services,283.28999999999996
